title,price,info,composition,usage,precautions,brand,image,description,url,limpiar,tratar,proteger,composition_list,composition_list_standard,id
fotoprotector isdin fusión water pediatrics spf50,s/ 124.90,"['todo tipo de piel, incluso piel atópica y/o sensible', 'apto a partir de los 6 meses.', 'no deja residuo, sin perfume ni alcohol', 'testado pediátrica y dermatológicamente', 'hipoalergénico: formulado para minimizar el riesgo de alergia', 'con vitamina e, provitamina b5 y extracto de siempreviva', 'nsoc61096-23pe']","vitamina e, provitamina b5, extracto de siempreviva","aplica fusion water magic pediatrics spf 50 generosamente sobre la piel seca o húmeda, media hora antes de la exposición solar. reaplica cada 2 horas o tras transpirar, nadar o secarse con la toalla. al reducir la cantidad de producto aplicada se reduce el factor de protección.",uso externo. mantener el producto fuera del alcance de los niños. evitar el contacto con ojos y mucosas.,isdin,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073610L.jpg,fotoprotector isdin fusión water pediatrics spf50. su fórmula resistente al agua y sin irritar los ojos protege la delicada piel de los niños.,https://inkafarma.pe/producto/fotoprotector-isdin-fusion-water-pediatrics-spf50/073610,False,False,True,"['vitamina e', 'provitamina b5', 'extracto de siempreviva']","['tocoferol', 'extracto de siempreviva', 'vitamina b5']",P0000
crema anti-irritación la roche posay lipikar 400ml,s/ 176.90,"['calma la piel inmediatamente.', 'con su eficacia antirecaída.', 'reduce el picor debido a la sequedad de la piel.', 'nsc2006co21503']","aqua posae filiformis , microresyl: devuelve el balance microbiano de la piel, restaurando el microbioma cutáneo, manteca de karité: repara la barrera cutanea, glicerina: hidratante, emoliente, niacinamida (4%) reduce la inflamación, agua termal (50%): antiprurito, suavizante, calmante",aplicar sobre la piel limpia con masaje circular. utilizar una o dos veces al día.,mantener fuera del alcance de los niños.,la roche-posay,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/008954L.jpg,"crema anti-irritación la roche posay lipikar baume ap es un bálsamo emoliente hidratante, disminuye la frecuencia de los brotes de sequedad severa.",https://inkafarma.pe/producto/lipikar-baume-ap-crema-anti-irritacion-400ml-la-ro/008954,False,True,False,"['aqua posae filiformis', 'microresyl', 'restaurando el microbioma cutáneo', 'manteca de karité', 'glicerina', 'emoliente', 'niacinamida () reduce la inflamación', 'agua termal ()', 'suavizante', 'calmante']","['manteca de karité', 'glicerina', 'niacinamida', 'agua', 'suavizante', 'emoliente', 'microresyl']",P0001
serum isdinceutics retinal intense,s/ 299.90,"['ayuda a acelerar la renovación cutánea', 'reduce las arrugas con un constante uso', 'piel más lisa y uniforme', 'nsoc17486-22co']","aqua (water), dimethicone, dibutyl adipate, niacinamide, isoamyl laurate, lauryl peg/ppg-18/18 methicone, glycerin, propanediol, dimethicone/vinyl dimethicone crosspolymer, alcohol denat., bakuchiol, 1,2-hexanediol, pentylene glycol, caprylic/capric triglyceride, ethylcellulose, hydroxyacetophenone, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, 4-t-butylcyclohexanol, caprylyl glycol, parfum (fragrance), sodium acrylates crosspolymer-2, polyacrylate crosspolymer-6, vigna aconitifolia seed extract, tocopheryl acetate, tocopherol, citric acid, xanthan gum, maltodextrin, melatonin, retinal (retinaldehyde), silica, disodium edta, phospholipids, synthetic fluorphlogopite, ci 77891 (titanium dioxide), ascorbic acid, t-butyl alcohol, rosmarinus officinalis (rosemary) leaf extract, palmitoyl tetrapeptide-7, tin oxide, chrysin","aplica retinal intense en tu rutina de noche. dosifica 2 pulsaciones de producto y mezcla hasta obtener un color homogéneo.aplica una fina capa sobre el rostro limpio y seco evitando el contorno de ojos y mucosas. a la mañana siguiente, protege tu piel de la radiación solar y la luz visible con un fotoprotector","si es la primera vez que usas un retinoide, te recomendamos un periodo de retinización: la primera semana, aplica tres noches por semana, dejando 2 noches entre aplicaciones; la segunda, una noche sí, una noche no; y a partir de la tercera, si no aparece irritación, puedes aumentar el número de aplicaciones.",isdin,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/071866L.jpg,serum isdinceutics retinal intense. el retinaldehído es uno de los ingredientes anti-edad más eficaces: es 3 veces más potente que el retinol.,https://inkafarma.pe/producto/serum-isdinceutics-retinal-intense/071866,False,True,False,"['aqua (water)', 'dimethicone', 'dibutyl adipate', 'niacinamide', 'isoamyl laurate', 'lauryl peg/ppg-18/18 methicone', 'glycerin', 'propanediol', 'dimethicone/vinyl dimethicone crosspolymer', 'alcohol denat.', 'bakuchiol', '1', '2-hexanediol', 'pentylene glycol', 'caprylic/capric triglyceride', 'ethylcellulose', 'hydroxyacetophenone', 'pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', '4-t-butylcyclohexanol', 'caprylyl glycol', 'parfum (fragrance)', 'sodium acrylates crosspolymer-2', 'polyacrylate crosspolymer-6', 'vigna aconitifolia seed extract', 'tocopheryl acetate', 'tocopherol', 'citric acid', 'xanthan gum', 'maltodextrin', 'melatonin', 'retinal (retinaldehyde)', 'silica', 'disodium edta', 'phospholipids', 'synthetic fluorphlogopite', 'ci 77891 (titanium dioxide)', 'ascorbic acid', 't-butyl alcohol', 'rosmarinus officinalis (rosemary) leaf extract', 'palmitoyl tetrapeptide-7', 'tin oxide', 'chrysin']","['tetrapéptido-7 palmitoil', 'capriloil glicol', 'óxido de estaño', 'copolímero de acrilato de sodio-2', 'alcohol denaturado', 'melatonina', 'triglicérido caprílico/cáprico', 'crisina', 'meticona peg/ppg-18/18 de laurilo', 'dimeticona', 'adipato de dibutilo', 'pentilenglicol', '4-t-butilciclohexanol', 'ácido cítrico', 'hidroxihidrocinamato de pentaeritritilo tetra-di-t-butilo', 'alcohol t-butilo', 'extracto de hoja de romero', 'bakuchiol', 'acetato de tocoferilo', 'maltodextrina', '2-hexanodiol', 'tocoferol', 'copolímero de poliacrilato-6', 'extracto de semilla de vigna aconitifolia', 'retinaldehído', 'dióxido de titanio', 'propanodiol', 'fosfolípidos', 'goma xantana', 'edta disódico', 'fluorfelogopita sintética', 'etilcelulosa', 'laurato de isoamilo', 'glicerina', 'niacinamida', 'ácido ascórbico', 'agua', 'sílice', 'fragancia', 'hidroxiacetofenona']",P0002
crema en gel hidratante cerave control de grasa,s/ 60.90,"['tecnología de control de grasa', 'no deja la piel ni demasiado grasa ni demasiado seca.\u200b', 'tecnología mve: liberación controlada para una hidratación durante todo el día.', 'no comedogénico, sin perfume', 'pieles mixtas a grasas', 'nsoc28541-24co', 'tecnología de control de grasa', 'no deja la piel ni demasiado grasa ni demasiado seca.\u200b', 'tecnología mve: liberación controlada para una hidratación durante todo el día.', 'no comedogénico, sin perfume', 'pieles mixtas a grasas', 'nsoc28541-24co']","agua, niacinamida, glicerina, isononanoato de cetearilo, alcoholes c14-22, miristato de isopropilo, almidón de zea mays/almidón de maíz, ceramida np, ceramida ap, ceramida eop, carbómero, alcohol cetearílico, metosulfato de behentrimonio, citrato de trietil, sílice, hidróxido de sodio, hialuronato de sodio, lauroil lactilato de sodio, colesterol, fenoxietanol, ácido cítrico, caprilil glicol, disuccinato de etilendiamina trisódica, goma xantana, fitoesfingosina, poliacrilato crospolímero-6, ácido benzoico, alquil glucósido c12-20​","aplicar generosamente sobre el rostro y el cuello por la mañana y por la noche después de la limpieza, o según lo indique un dermatólogo.  por la mañana, aplicar a continuación un protector solar de amplio espectro.","uso para adolescentes, jóvenes y adultos. en caso de alguna reacción alérgica consulte con su médico.",cerave,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073726L.jpg,"crema en gel hidratante cerave control de grasa. ofrece hidratación ligera y control del brillo, ideal para pieles grasas o mixtas.",https://inkafarma.pe/producto/crema-en-gel-hidratante-cerave-control-de-grasa/073726,False,True,False,"['agua', 'niacinamida', 'glicerina', 'isononanoato de cetearilo', 'alcoholes c14-22', 'miristato de isopropilo', 'almidón de zea mays/almidón de maíz', 'ceramida np', 'ceramida ap', 'ceramida eop', 'carbómero', 'alcohol cetearílico', 'metosulfato de behentrimonio', 'citrato de trietil', 'sílice', 'hidróxido de sodio', 'hialuronato de sodio', 'lauroil lactilato de sodio', 'colesterol', 'fenoxietanol', 'ácido cítrico', 'caprilil glicol', 'disuccinato de etilendiamina trisódica', 'goma xantana', 'fitoesfingosina', 'poliacrilato crospolímero-6', 'ácido benzoico', 'alquil glucósido c12-20\u200b']","['hialuronato de sodio', 'capriloil glicol', 'alcoholes c14-22', 'fenoxietanol', 'hidróxido de sodio', 'miristato de isopropilo', 'almidón de maíz', 'ácido cítrico', 'citrato de trietilo', 'carbómero', 'fitoesfingosina', 'copolímero de poliacrilato-6', 'alcohol cetearílico', 'alquil glucósido c12-20', 'isononanoato de cetearilo', 'goma xantana', 'metosulfato de behentrimonio', 'colesterol', 'ceramida', 'disuccinato de etilendiamina trisódico', 'glicerina', 'niacinamida', 'agua', 'sílice', 'ácido benzoico', 'lauroil lactilato de sodio']",P0003
fotoprotector bioderma pediatrics  lait,s/ 154.90,"['muy alta protección y multi-resistente.', 'para rostro y cuerpo.', 'textura ultra ligera e invisible', 'para niños y bebes desde los 12 meses', 'nsoc61071-23pe']","protege, refuerza la delicada piel de los niños - protección muy alta, de amplio espectro, optimizada para los rayos uva largos, cortos​",aplicar sólo sobre piel sana. niños mayores de 12 meses.paso 1: aplicar de manera uniforme y generosa antes de la exposición (si se reduce la cantidad de producto disminuye el nivel de fotoprotección).paso 2: repetir la aplicación cada 2h o con más frecuencia después de cada,uso especializado para bebés a partir de 12 meses en adelante y niños. en caso de alguna reacción alergica. consulte con su médico. evitar el contacto con los ojos.,bioderma,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/069205L.jpg,fotoprotector photoderm bioderma pediatrics lait spf50+. brinda una muy alta protección y multi-resistente. con textura ligera.,https://inkafarma.pe/producto/fotoprotector-photoderm-bioderma-pediatrics-lait/069205,False,False,True,"['protege', 'refuerza la delicada piel de los niños - protección muy alta', 'de amplio espectro', 'optimizada para los rayos uva largos', 'cortos\u200b']",[],P0004
la roche posay effaclar gel limpiador facial 400ml,s/ 137.90,"['reduce el exceso de grasa y sebo en la piel sin dejarla seca o irritada.', 'respeta el equilibrio fisiológico de la piel.', 'ideal para pieles mixtas a grasas y/o con imperfecciones.', 'nsc2006co21504']","pidolato de zinc: controla el exceso de sebo, glicacyl:  combate la proliferación bacteriana, con ph 5.5","haz espuma en las manos con un poco de agua y aplica en el rostro, masajeando suavemente. aclarar perfectamente.",mantener fuera del alcance de los niños.,la roche-posay,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/009309L.jpg,limpiador facial de la roche posay línea effaclar de 400 ml especialmente para pieles grasas y con tendencia acnéica. limpia y purifica la piel.,https://inkafarma.pe/producto/effaclar-gel-limpiador-facial-400ml-la-roche-posay/009309,True,False,False,"['pidolato de zinc', 'glicacyl', 'con ph 5.5']","['pidolato de zinc', 'glicacil']",P0005
protector bioderma photoderm nude touch golden hour,s/ 122.90,"['regula la cantidad y calidad del sebo producido cada día', 'oculta las imperfecciones y unifica la textura de la piel.', 'nsoc30812-17pe']",ácido salicílico,usar el producto de la siguiente manera:,contiene ácido salicílico,bioderma,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/036347L.jpg,protector bioderma photoderm nude touch golden hour fps 50+ brinda una protección muy alta frente a uva/uvb con textura super ligera.,https://inkafarma.pe/producto/photoderm-nude-touch-50-bioderma-golden/036347,False,False,True,['ácido salicílico'],['ácido salicílico'],P0006
la roche posay sérum effaclar anti-imperfecciones 30ml,s/ 204.90,"['antiimperfecciones.', 'desobstruye los poros.', 'acción peeling.', 'nsoc46817-20pe']","3 ácidos queratolíticos (ácido salicílico , ácido glicólico , lha) para reducir imperfecciones, marcas , niacinamida (mejora la barrera de la piel, reduce las irritaciones cutáneas) , agua termal para una acción calmante, anti-irritación","aplicar en todo el rostro por la noche, tras limpiar la piel con effaclar gel o effaclar gel purificante microexfoliante.",mantener fuera del alcance de los niños.,la roche-posay,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/033341L.jpg,"sérum effaclar, suero conmétic diseñado para exfoliar, evitar y reducir las imperfecciones en piel con tendencia acnéica. purificando la piel.",https://inkafarma.pe/producto/serum-effaclar-la-roche-posay-anti-imperfecciones/033341,False,True,False,"['3 ácidos queratolíticos (ácido salicílico', 'ácido glicólico', 'lha) para reducir imperfecciones', 'marcas', 'niacinamida (mejora la barrera de la piel', 'reduce las irritaciones cutáneas)', 'agua termal para una acción calmante', 'anti-irritación']","['ácido lipohidroxi', 'ácido salicílico', 'ácido glicólico', 'niacinamida', 'agua']",P0007
limpiador anti-rugosidades cerave,s/ 109.90,"['limpiador anti-rugosidades', 'exfolia y alisa la piel', 'para piel seca, rugosa  e irregular', 'sin perfume', 'nsoc42868-19pe']","3 ceramidas esenciales, acido salicilico, acido hialuronico",masajear sobre la piel humeda,mantener fuera del alcance de los niños.,cerave,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/071150L.jpg,"limpiador anti-rugosidades cerave. diseñado para exfoliar y suavizar la piel. combina tres ceramidas esenciales, ácido salicílico y ácido hialurónico.",https://inkafarma.pe/producto/limpiador-anti-rugosidades-cerave/071150,True,True,False,"['3 ceramidas esenciales', 'acido salicilico', 'acido hialuronico']","['ácido hialurónico', 'ceramida', 'ácido salicílico']",P0008
agua micelar bioderma sensibio h2o victoria beckham - inkafarma,s/ 120.90,"['elimina el maquillaje del rostro y los ojos.', 'limpia la piel de las impurezas y partículas contaminantes.', 'calma y descongestiona la piel.', 'conserva el equilibrio natural de la piel.', 'respeta y refuerza la función barrera de la piel.', '']","aqua/water/eau, glycerin, dicaprylyl ether, propylheptyl caprylate, butylene glycol, glyceryl stearate citrate, glycol palmitate, squalane, sucrose stearate, mangifera indica (mango) seed butter, pentylene glycol, acrylates/c10-30 alkyl acrylate crosspolymer, caprylyl glycol, carnosine, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, mannitol, xylitol, tocopherol, salvia miltiorrhiza flower/leaf/root extract, rhamnose, glycine soja (soybean) oil, polysorbate 60, sorbitan isostearate, palmitoyl tetrapeptide-10, bi 2012","mañana y noche 7 días de la semana, con estos pasos:",en caso de alguna reacción alergica. consulte con su médico. evitar el contacto directo con los ojos.,bioderma,,,https://inkafarma.pe/producto/agua-micelar-bioderma-sensibio-h2o-vb/077517,True,False,False,"['aqua/water/eau', 'glycerin', 'dicaprylyl ether', 'propylheptyl caprylate', 'butylene glycol', 'glyceryl stearate citrate', 'glycol palmitate', 'squalane', 'sucrose stearate', 'mangifera indica (mango) seed butter', 'pentylene glycol', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'caprylyl glycol', 'carnosine', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'mannitol', 'xylitol', 'tocopherol', 'salvia miltiorrhiza flower/leaf/root extract', 'rhamnose', 'glycine soja (soybean) oil', 'polysorbate 60', 'sorbitan isostearate', 'palmitoyl tetrapeptide-10', 'bi 2012']","['ramnosa', 'escualano', 'capriloil glicol', 'aceite de soja', 'palmitato de glicerilo', 'carnosina', 'caprilato de propilheptilo', 'pentilenglicol', 'copolímero de acrilato de hidroxietilo/taurato de sodio', 'extracto de flor/hoja/raíz de salvia miltiorrhiza', 'polisorbato 60', 'tocoferol', 'isostearato de sorbitán', 'manitol', 'copolímero de acrilatos/c10-30 alquil acrilato', 'tetrapéptido-10 palmitoil', 'manteca de semilla de mango', 'bi 2012', 'éter de dicaprililo', 'xilitol', 'estearato de sacarosa', 'glicerina', 'agua', 'citrato de estearato de glicerilo', 'butilenglicol']",P0009
