title,price,info,usage,brand,category,product_type,images,description,url
Bruma Facial Pixi Hydrating Milky Mist 80Ml,61.90,"Una bruma profundamente hidratante que crea una capa invisible de agentes calmantes para la piel, siendo el remedio definitivo para la piel seca.","Uso: Por la mañana, por la noche o según sea necesario.
Paso 1: Agita para mezclar.
Paso 2: Cierra los ojos y rocía sobre el rostro y el cuello.",Pixi,Limpieza,Aguas Micelares y Tónicos,"['https://aruma.vtexassets.com/arquivos/ids/204259-800-auto?v=638790296434300000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/204260-800-auto?v=638790296434430000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/204261-800-auto?v=638790296434430000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/204262-800-auto?v=638790296434600000&width=800&height=auto&aspect=true']",,https://www.aruma.pe/bruma-facial-pixi-hydrating-milky-mist-80ml/p
"Pack Revox Ácido Glicólico, Ácido Hialurónico y Niacinamida 3X30 ml",89.70,"Ácido Glicólico para renovar, Ácido Hialurónico para hidratar a profundidad y Niacinamida para una piel suave y sin imperfecciones.","Glycolic Acid: Aplicar 4-5 gotas por la noche sobre piel limpia y seca, masajear, dejar actuar 10-15 minutos y enjuagar con abundante agua.

Hyaluronic Acid: Aplicar 4-5 gotas por la mañana sobre piel limpia, masajear suavemente hasta que se absorba.

Niacinamide: Aplicar 4-5 gotas una vez al día (mañana o noche) sobre piel limpia y seca, masajear hasta absorber. Usar antes de cremas o aceites",REVOX,Hidratación,Cremas de Día,"['https://aruma.vtexassets.com/arquivos/ids/202343-800-auto?v=638695443452370000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/202346-800-auto?v=638821430319130000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/202347-800-auto?v=638821430319130000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/202348-800-auto?v=638821430319130000&width=800&height=auto&aspect=true']","Serum Just Ácido Glicólico 30ml Revox: Es una solución tonificante para el rostro y cuello. El Ácido Glicólico es uno de los ácidos más comunes y efectivos. Sus moléculas son pequeñas y pueden penetrar fácilmente en la piel de forma profunda.Serum Just Ácido Hialurónico 30ml Revox: Es un fluido hidratante para el rostro y el cuello. El ácido hialurónico es una sustancia que se encuentra en la piel de forma natural y sirve para retener el agua en la piel y mantenerla hidratada.Serum Revox Just Niacinamida 30ml Revox: La niacinamida, una forma de vitamina B3, mejora la salud de la piel al reducir imperfecciones, equilibrar el sebo, hidratar y proteger contra irritantes. El producto Just Niacinamide 10% está formulado para tratar piel áspera, seca y con manchas, siendo adecuado para todo tipo de piel.",https://www.aruma.pe/pack-revox-glicolico-hyaluronico-y-niacinamida-3x30-ml/p
Eucerin Fluido Facial Matificante DermoPure 50ml,117.00,"Eucerin DermoPURE efecto antibrillo de 8h. Ayuda a reducir las imperfecciones, matifica e hidrata la piel.",,EUCERIN,Hidratación,Cremas de Día,"['https://aruma.vtexassets.com/arquivos/ids/188403-800-auto?v=638332350350770000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/188404-800-auto?v=638332350542730000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/188405-800-auto?v=638332350668700000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/188406-800-auto?v=638332350803400000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/188407-800-auto?v=638332350900970000&width=800&height=auto&aspect=true']","Un fluido facial matificante para la piel grasa propensa a imperfecciones.

El innovador Eucerin DermoPURE Oil Control Fluido Facial Matificante ayuda a contrarrestar eficazmente los granos y las espinillas y a controlar las pieles grasas con impurezas a largo plazo. El Fluido Facial matificante contiene:

Ácido salicílico: ayuda a reducir las imperfecciones y evitar que vuelvan a aparecer.
Licochalcona A: calma la irritación y reduce el enrojecimiento
Tecnología de regulación del sebo: reduce la producción de sebo
Partículas que se materializan: proporcionan un efecto anti-brillo de 8h sin obstruir los poros
La piel es notablemente más clara y el efecto mate de larga duración mejora la tez.",https://www.aruma.pe/fluido-facial-matificante-dermopure-50ml-eucerin/p
Contorno de Ojos Eye Cream Antiarrugas 15ml Frezyderm,148.00,Crema para el contorno de ojos.,,FREZYDERM,Necesidad,Hidratación,['https://aruma.vtexassets.com/arquivos/ids/160950-800-auto?v=637400632307630000&width=800&height=auto&aspect=true'],"Crema para el contorno de ojos que ayuda a hidratar, reafirmar y regenerar la piel alrededor de los ojos. Ayuda a obtener una alta hidratación minimizando las marcas de expresión, descongestionando las bolsas y devolviendo flexibilidad que se genera en esa zona. Sus componentes dejan la piel hidratada y tonificada al instante de su aplicación. Ideal para todo tipo de piel.",https://www.aruma.pe/contorno-de-ojos-eye-cream-antiarrugas-15ml-frezyderm/p
Hidratante Just Collagen Amino Acids + Ha Revox,29.90,,"Aplicar una pequeña cantidad de Just Aminoácidos de Colágeno + HA de Revox por mañanas y las noches sobre la piel limpia, evitando el área de los ojos. Masajear suavemente hasta su total absorción.",REVOX,Hidratación,Cremas de Día,"['https://aruma.vtexassets.com/arquivos/ids/179260-800-auto?v=637964277070730000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/179261-800-auto?v=637964277163230000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/179262-800-auto?v=637964277282600000&width=800&height=auto&aspect=true']","Esta loción facial hidratante combina los beneficios del colágeno, alantoína y urea con el efecto de relleno del ácido hialurónico.
El colágeno de bajo peso molecular penetra profundamente en la piel, aumentando el nivel de hidratación. Este complejo hidratante actúa profundamente y reduce las líneas finas para una piel visiblemente rejuvenecida.
El Just Aminoácidos de Colágeno + HA de Revox es adecuado para atenuar los signos visibles del envejecimiento. Cruelty Free.",https://www.aruma.pe/hidratante-just-collagen-amino-acids-ha-revox/p
Tiras Nasales con Extracto de Carbón y Hamamelis 4 Und Purederm,13.90,"Estas bandas ayudan a remover la suciedad que se encuentra atrapada en los poros de la nariz. Este parche se adhiere a la piel y actúa sobre los poros, extrayendo las impurezas para evitar futuras espinillas. En sus componentes podrás encontrar extracto d","Con el rostro previamente limpio y seco, antes de aplicar otro producto como cremas, colocar una banda limpiadora por el lado con adhesivo y dejar reposar por el tiempo indicado. Retirar de abajo hacia arriba con delicadeza. Seguir con la rutina de cuidados como de costumbre.",PUREDERM,Tratamiento,Mascarillas,['https://aruma.vtexassets.com/arquivos/ids/162522-800-auto?v=637400640435300000&width=800&height=auto&aspect=true'],"Con el extracto de hamamelis, estas bandas lograrán controlar la producción de cebo, mientras limpian efectivamente los poros de la nariz sin causar irritaciones.",https://www.aruma.pe/tiras-nasales-con-extracto-de-carbon-y-hamamelis-4-und-purederm/p
Contorno De Ojos Uriage  Age Lift 15 ml Uriage,157.00,"Esta crema alisadora sedosa para el contorno de los ojos actúa simultáneamente sobre las arrugas, la firmeza del contorno de los ojos y sobre las agresiones diarias de la piel.",,URIAGE,Necesidad,Hidratación,"['https://aruma.vtexassets.com/arquivos/ids/181668-800-auto?v=638100916996370000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/181669-800-auto?v=638100917124430000&width=800&height=auto&aspect=true']","Una innovación de AGE LIFT, la gama dermatológica de tratamiento lifting que alisa y reafirma todo tipo de pieles, incluso las sensibles [3 veces menos arrugas, 3 veces más firme].* Esta crema alisadora sedosa para el contorno de los ojos actúa simultáneamente sobre las arrugas, la firmeza del contorno de los ojos y sobre las agresiones diarias de la piel: luz azul, rayos UV, contaminación, estrés, fatiga. La piel del contorno de ojos se alisa e hidrata. El aspecto de las arrugas, las bolsas y las ojeras se reduce, y el contorno de los ojos está más descansado.",https://www.aruma.pe/uriage-antiedad-age-lift-contorno-de-ojos-15ml/p
Hidrante de Labios Moisture Surge Lip Hydro-Plump 10 ml Clinique,119.00,"Hidratación intensiva para día y noche. Tratamiento multi-acción  que suaviza, alivia la resequedad dejando los labios suaves y humectados.",,CLINIQUE,Labios,Labial,"['https://aruma.vtexassets.com/arquivos/ids/179195-800-auto?v=637962655697030000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/179196-800-auto?v=637962655937700000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/179198-800-auto?v=637962656215000000&width=800&height=auto&aspect=true']","¿Qué es? 
Hidratación intensiva para día y noche. Tratamiento multi-acción  que suaviza, alivia la resequedad dejando los labios suaves y humectados. 

¿Qué hace? 
Hidrata y nutre los labios dejándolos suaves e hidratados. Este tratamiento multi-acción humecta, suaviza y prepara los labios para el maquillaje en cualquier momento. 
Sometido a pruebas de alergia. 100% sin perfumes.

Nuestra filosofía de pureza 
Sin parabenos. Sin ftalatos. Sin fragancia. Piel simplemente feliz.",https://www.aruma.pe/hidrante-de-labios-moisture-surge-lip-hydro-plump-10-ml-clinique/p
Despigmentante Isdinceutics Melaclear Advance 30ml,279.00,,"Aplicar unas gotas de sérum en las zonas indicadas (rostro, escote, hombros, dorso de las manos) evitando el contorno de los ojos durante un período mínimo de 3 meses. Durante este periodo, se recomienda evitar la exposición solar y aplicar un fotoprotector con FPS muy alto.",ISDIN,Necesidad,Tratamiento,"['https://aruma.vtexassets.com/arquivos/ids/195299-800-auto?v=638531191180570000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/193633-800-auto?v=638465440279300000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/193634-800-auto?v=638465440392930000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/193635-800-auto?v=638465440843270000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/193636-800-auto?v=638465440931770000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/193637-800-auto?v=638465441479070000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/193638-800-auto?v=638465441746330000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/193639-800-auto?v=638465441929130000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/193640-800-auto?v=638465442183870000&width=800&height=auto&aspect=true']",Sérum antimanchas con ácido tranexámico para un 63% menos de manchas¹ en 3 meses,https://www.aruma.pe/despigmentante-isdinceutics-melaclear-advance-30ml/p
Mascarilla Facial 7 Days Cheerful Tuesday With Melon And Mint 28g,12.90,,1. Cara limpia. 2. Aplicar mascarilla y dejar actuar durante 10-15 minutos. 3. Enjuágate la cara con agua.,7DAYS,Tratamiento,Mascarillas,"['https://aruma.vtexassets.com/arquivos/ids/189494-800-auto?v=638368676736170000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/189495-800-auto?v=638368676869500000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/189496-800-auto?v=638368677059800000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/189497-800-auto?v=638368678468630000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/189498-800-auto?v=638368679007900000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/189499-800-auto?v=638368679227600000&width=800&height=auto&aspect=true', 'https://aruma.vtexassets.com/arquivos/ids/189500-800-auto?v=638368679349800000&width=800&height=auto&aspect=true']","¡La mascarilla de los martes es el segundo paso en tu viaje hacia la piel de tus sueños! El melón acelera la regeneración de la piel, unifica el tono. El extracto de menta refresca, refresca y nutre tu piel. Su complejo vitamínico único llena tu piel de energía, unifica la textura y le da el tono que estabas buscando.",https://www.aruma.pe/mascarilla-facial-7-days-cheerful-tuesday-with-melon-and-mint-28g/p
