title,price,info,composition,usage,precautions,brand,image,description,url
Fotoprotector Isdin Fusión Water Pediatrics SPF50,S/ 124.90,"['Todo tipo de piel, incluso piel atópica y/o sensible', 'Apto a partir de los 6 meses.', 'No deja residuo, sin perfume ni alcohol', 'Testado pediátrica y dermatológicamente', 'Hipoalergénico: formulado para minimizar el riesgo de alergia', 'Con Vitamina E, provitamina B5 y extracto de siempreviva', 'NSOC61096-23PE']","Vitamina E, provitamina B5 y extracto de siempreviva","Aplica Fusion Water MAGIC Pediatrics SPF 50 generosamente sobre la piel seca o húmeda, media hora antes de la exposición solar. Reaplica cada 2 horas o tras transpirar, nadar o secarse con la toalla. Al reducir la cantidad de producto aplicada se reduce el factor de protección.",Uso externo. Mantener el producto fuera del alcance de los niños. Evitar el contacto con ojos y mucosas.,ISDIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073610L.jpg,Fotoprotector Isdin Fusión Water Pediatrics SPF50. Su fórmula resistente al agua y sin irritar los ojos protege la delicada piel de los niños.,https://inkafarma.pe/producto/fotoprotector-isdin-fusion-water-pediatrics-spf50/073610
Crema Anti-irritación La Roche Posay Lipikar 400ml,S/ 176.90,"['Calma la piel inmediatamente.', 'Con su eficacia antirecaída.', 'Reduce el picor debido a la sequedad de la piel.', 'NSC2006CO21503']","Aqua Posae Filiformis + Microresyl: Devuelve el balance microbiano de la piel, restaurando el microbioma cutáneo. Manteca de Karité: repara la barrera cutanea, Glicerina: Hidratante y emoliente. Niacinamida (4%) Reduce la inflamación, Agua Termal (50%): Antiprurito, suavizante y calmante.",Aplicar sobre la piel limpia con masaje circular. Utilizar una o dos veces al día.,Mantener fuera del alcance de los niños.,LA ROCHE-POSAY,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/008954L.jpg,"Crema Anti-irritación La Roche Posay Lipikar Baume Ap es un bálsamo emoliente hidratante, disminuye la frecuencia de los brotes de sequedad severa.",https://inkafarma.pe/producto/lipikar-baume-ap-crema-anti-irritacion-400ml-la-ro/008954
Serum Isdinceutics Retinal Intense,S/ 299.90,"['Ayuda a acelerar la renovación cutánea', 'Reduce las arrugas con un constante uso', 'Piel más lisa y uniforme', 'NSOC17486-22CO']","Aqua (Water), Dimethicone, Dibutyl Adipate, Niacinamide, Isoamyl Laurate, Lauryl PEG/PPG-18/18 Methicone, Glycerin, Propanediol, Dimethicone/Vinyl Dimethicone Crosspolymer, Alcohol Denat., Bakuchiol, 1,2-Hexanediol, Pentylene Glycol, Caprylic/Capric Triglyceride, Ethylcellulose, Hydroxyacetophenone, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, 4-T-Butylcyclohexanol, Caprylyl Glycol, Parfum (Fragrance), Sodium Acrylates Crosspolymer-2, Polyacrylate Crosspolymer-6, Vigna Aconitifolia Seed Extract, Tocopheryl Acetate, Tocopherol, Citric Acid, Xanthan Gum, Maltodextrin, Melatonin, Retinal (Retinaldehyde), Silica, Disodium EDTA, Phospholipids, Synthetic Fluorphlogopite, CI 77891 (Titanium Dioxide), Ascorbic Acid, T-Butyl Alcohol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Palmitoyl Tetrapeptide-7, Tin Oxide, Chrysin.","Aplica Retinal Intense en tu rutina de noche. Dosifica 2 pulsaciones de producto y mezcla hasta obtener un color homogéneo.Aplica una fina capa sobre el rostro limpio y seco evitando el contorno de ojos y mucosas. A la mañana siguiente, protege tu piel de la radiación solar y la luz visible con un fotoprotector","Si es la primera vez que usas un retinoide, te recomendamos un periodo de retinización: la primera semana, aplica tres noches por semana, dejando 2 noches entre aplicaciones; la segunda, una noche sí, una noche no; y a partir de la tercera, si no aparece irritación, puedes aumentar el número de aplicaciones.",ISDIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/071866L.jpg,Serum Isdinceutics Retinal Intense. El retinaldehído es uno de los ingredientes anti-edad más eficaces: es 3 veces más potente que el retinol.,https://inkafarma.pe/producto/serum-isdinceutics-retinal-intense/071866
Crema en Gel Hidratante CeraVe Control de Grasa,S/ 60.90,"['Tecnología de control de grasa', 'No deja la piel ni demasiado grasa ni demasiado seca.\u200b', 'Tecnología MVE: Liberación controlada para una hidratación durante todo el día.', 'No comedogénico, sin perfume', 'Pieles mixtas a grasas', 'NSOC28541-24CO', 'Tecnología de control de grasa', 'No deja la piel ni demasiado grasa ni demasiado seca.\u200b', 'Tecnología MVE: Liberación controlada para una hidratación durante todo el día.', 'No comedogénico, sin perfume', 'Pieles mixtas a grasas', 'NSOC28541-24CO']","AGUA, NIACINAMIDA, GLICERINA, ISONONANOATO DE CETEARILO, ALCOHOLES C14-22, MIRISTATO DE ISOPROPILO, ALMIDÓN DE ZEA MAYS/ALMIDÓN DE MAÍZ, CERAMIDA NP, CERAMIDA AP, CERAMIDA EOP, CARBÓMERO, ALCOHOL CETEARÍLICO, METOSULFATO DE BEHENTRIMONIO, CITRATO DE TRIETIL, SÍLICE, HIDRÓXIDO DE SODIO, HIALURONATO DE SODIO, LAUROIL LACTILATO DE SODIO, COLESTEROL, FENOXIETANOL, ÁCIDO CÍTRICO, CAPRILIL GLICOL, DISUCCINATO DE ETILENDIAMINA TRISÓDICA, GOMA XANTANA, FITOESFINGOSINA, POLIACRILATO CROSPOLÍMERO-6, ÁCIDO BENZOICO, ALQUIL GLUCÓSIDO C12-20​","Aplicar generosamente sobre el rostro y el cuello por la mañana y por la noche después de la limpieza, o según lo indique un dermatólogo.  Por la mañana, aplicar a continuación un protector solar de amplio espectro.","Uso para adolescentes, jóvenes y adultos. En caso de alguna reacción alérgica consulte con su médico.",CERAVE,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/073726L.jpg,"Crema en Gel Hidratante CeraVe Control de Grasa. Ofrece hidratación ligera y control del brillo, ideal para pieles grasas o mixtas.",https://inkafarma.pe/producto/crema-en-gel-hidratante-cerave-control-de-grasa/073726
Gel de Limpieza Bioderma Moussant Sebium 200ml,S/ 152.90,"['Cuidado de la Piel.', 'NSOC15273-13PE']",,,Evitar el contacto directo con los ojos.,BIODERMA,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/010098L.jpg,"Gel de limpieza Bioderma Moussant Sebium para pieles mixtas a grasas, limpia delicada y suavemente, previniendo la aparición de imperfecciones.",https://inkafarma.pe/producto/gel-purificante-facial-sebium-moussant-bioderma/010098
Fotoprotector Bioderma Pediatrics  Lait,S/ 154.90,"['Muy alta protección y multi-resistente.', 'Para rostro y cuerpo.', 'Textura ultra ligera e invisible', 'Para niños y bebes desde los 12 meses', 'NSOC61071-23PE']","PROTEGE Y REFUERZA la delicada piel de los niños - Protección muy alta y de amplio espectro, optimizada para los rayos UVA largos y cortos​",Aplicar sólo sobre piel sana. Niños mayores de 12 meses.PASO 1: Aplicar de manera uniforme y generosa antes de la exposición (si se reduce la cantidad de producto disminuye el nivel de fotoprotección).PASO 2: Repetir la aplicación cada 2h o con más frecuencia después de cada,Uso especializado para bebés a partir de 12 meses en adelante y niños. En caso de alguna reacción alergica. Consulte con su médico. Evitar el contacto con los ojos.,BIODERMA,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/069205L.jpg,Fotoprotector Photoderm Bioderma Pediatrics Lait SPF50+. Brinda una muy alta protección y multi-resistente. Con textura ligera.,https://inkafarma.pe/producto/fotoprotector-photoderm-bioderma-pediatrics-lait/069205
La Roche Posay Effaclar Gel Limpiador Facial 400ml,S/ 137.90,"['Reduce el exceso de grasa y sebo en la piel sin dejarla seca o irritada.', 'Respeta el equilibrio fisiológico de la piel.', 'Ideal para pieles mixtas a grasas y/o con imperfecciones.', 'NSC2006CO21504']",Pidolato de Zinc: Controla el exceso de sebo. Glicacyl:  Combate la proliferación bacteriana. Con pH 5.5.,"Haz espuma en las manos con un poco de agua y aplica en el rostro, masajeando suavemente. Aclarar perfectamente.",Mantener fuera del alcance de los niños.,LA ROCHE-POSAY,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/009309L.jpg,Limpiador facial de la Roche Posay línea Effaclar de 400 ml especialmente para pieles grasas y con tendencia acnéica. Limpia y purifica la piel.,https://inkafarma.pe/producto/effaclar-gel-limpiador-facial-400ml-la-roche-posay/009309
Shampoo Vichy Dercos Anticaspa Cabello Graso 200ml,S/ 90.50,"['Combate la caspa desde el primer uso.', 'Reduce la picazón.', 'Efecto anti-reaparición hasta 6 semanas después de terminado el tratamiento.', 'NSOC08877-21CO']","Disulfuro de Selenio, Ácido Salicílico, Vitamina E y Ceramida R",Aplicar el shampoo sobre el cuero cabelludo húmedo. Masajear suavemente con las llemas de los dedos por 2 minutos y lavar.,"Contiene disulfuro de selenio, evitar el contacto con los ojos y la piel dañada. En caso de contacto con los ojos, aclarar inmediatamente.",VICHY,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/067310L.jpg,Shampoo Vichy Dercos Anticaspa para Cabello Graso con Selenio DS es ideal para hombres y mujeres con cabello graso que buscan eliminar la caspa.,https://inkafarma.pe/producto/shampoo-vichy-dercos-anticaspa-para-cabello-graso/067310
Protector Solar Eucerin Oil Control Tono Claro,S/ 131.90,"['Cubre inmediatamente las impurezas e imperfecciones de la piel.', 'Textura ultraligera, no grasa y no pegajosa.', 'No comedogénico.', 'NSOC04354-21CO']",,,,EUCERIN,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/035797L.jpg,Protector Solar Facial Eucerin Oil Control FPS 50+ Tono Claro te protege contra la luz HEVIS para una protección UV alta.,https://inkafarma.pe/producto/protector-solar-facial-eucerin-oil-control-claro/035797
Protector Solar Dermaglós FPS 40 180g,S/ 112.90,"['Protector Solar.', 'NSOC27234-16PE']",,,Evitar el contacto directo con los ojos.,DERMAGLÓS,https://dcuk1cxrnzjkh.cloudfront.net/imagesproducto/011067L.jpg,"Protector Solar Dermaglós FPS 40 Efecto Seco, protege de las quemaduras y previene el envejecimiento prematuro. Previene la aparición de manchas.",https://inkafarma.pe/producto/protector-solar-dermaglos-solar-fps40-efecto-seco/011067
